Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,DH,dest_mh,ready_time,Load,pickup_add_time,finalready_time
Shipment,MOTHERHUB_BAM-DARYAGANJMPHUB_DEL-p,28.545321,77.02914,28.6,77.2,DARYAGANJMPHUB_DEL,MOTHERHUB_BAM,72000,280,0,72000
Shipment,MOTHERHUB_BAM-DEHRADUNHUB_DED-c,28.545321,77.02914,30.306571,78.005725,DEHRADUNHUB_DED,MOTHERHUB_BAM,72000,153,14400,86400
Shipment,MOTHERHUB_BAM-DEHRADUNHUB_DED-p,28.545321,77.02914,30.306571,78.005725,DEHRADUNHUB_DED,MOTHERHUB_BAM,72000,1416,0,72000
Shipment,MOTHERHUB_BAM-DHARUHERAHUB_DRH-c,28.545321,77.02914,28.209118,76.77549,DHARUHERAHUB_DRH,MOTHERHUB_BAM,72000,185,14400,86400
Shipment,MOTHERHUB_BAM-DHARUHERAHUB_DRH-p,28.545321,77.02914,28.209118,76.77549,DHARUHERAHUB_DRH,MOTHERHUB_BAM,72000,615,0,72000
Shipment,MOTHERHUB_BAM-DILSHADGARDENHUB_DEL-c,28.545321,77.02914,28.673815,77.313828,DILSHADGARDENHUB_DEL,MOTHERHUB_BAM,,113,,0
Shipment,MOTHERHUB_BAM-DILSHADGARDENHUB_DEL-p,28.545321,77.02914,28.673815,77.313828,DILSHADGARDENHUB_DEL,MOTHERHUB_BAM,,1858,,0
Shipment,MOTHERHUB_BAM-DLFPHASE1HUB_DEL-c,28.545321,77.02914,28.472774,77.093271,DLFPHASE1HUB_DEL,MOTHERHUB_BAM,,148,,0
Shipment,MOTHERHUB_BAM-DLFPHASE1HUB_DEL-p,28.545321,77.02914,28.472774,77.093271,DLFPHASE1HUB_DEL,MOTHERHUB_BAM,,613,,0
Shipment,MOTHERHUB_BAM-DLFPHASE1MPHUB_DEL-c,28.545321,77.02914,28.472774,77.093271,DLFPHASE1MPHUB_DEL,MOTHERHUB_BAM,,120,,0
Shipment,MOTHERHUB_BAM-DLFPHASE1MPHUB_DEL-p,28.545321,77.02914,28.472774,77.093271,DLFPHASE1MPHUB_DEL,MOTHERHUB_BAM,,9,,0
Shipment,MOTHERHUB_BAM-DWARKAHUB_DEL-c,28.545321,77.02914,28.581638,77.015229,DWARKAHUB_DEL,MOTHERHUB_BAM,,137,,0
Shipment,MOTHERHUB_BAM-DWARKAHUB_DEL-p,28.545321,77.02914,28.581638,77.015229,DWARKAHUB_DEL,MOTHERHUB_BAM,,1926,,0
Shipment,MOTHERHUB_BAM-FARIDABADHUB_DEL-c,28.545321,77.02914,28.4527269,77.3140897,FARIDABADHUB_DEL,MOTHERHUB_BAM,,210,,0
Shipment,MOTHERHUB_BAM-FARIDABADHUB_DEL-p,28.545321,77.02914,28.4527269,77.3140897,FARIDABADHUB_DEL,MOTHERHUB_BAM,,1398,,0
Shipment,MOTHERHUB_BAM-FARIDABADMPHUB_DEL-c,28.545321,77.02914,28.4527269,77.3140897,FARIDABADMPHUB_DEL,MOTHERHUB_BAM,,173,,0
Shipment,MOTHERHUB_BAM-FARIDABADMPHUB_DEL-p,28.545321,77.02914,28.4527269,77.3140897,FARIDABADMPHUB_DEL,MOTHERHUB_BAM,,13,,0
Shipment,MOTHERHUB_BAM-FIROZABADHUB_FIR-c,28.545321,77.02914,27.160296,78.39434,FIROZABADHUB_FIR,MOTHERHUB_BAM,72000,109,14400,86400
Shipment,MOTHERHUB_BAM-FIROZABADHUB_FIR-p,28.545321,77.02914,27.160296,78.39434,FIROZABADHUB_FIR,MOTHERHUB_BAM,72000,114,0,72000
Shipment,MOTHERHUB_BAM-FIROZABADMPHUB_FIR-c,28.545321,77.02914,27.160296,78.39434,FIROZABADMPHUB_FIR,MOTHERHUB_BAM,72000,22,14400,86400
Shipment,MOTHERHUB_BAM-FIROZABADMPHUB_FIR-p,28.545321,77.02914,27.160296,78.39434,FIROZABADMPHUB_FIR,MOTHERHUB_BAM,72000,1,0,72000
